State/UT,Micro - Manufacturing,Micro - Services,Micro - Total,Small - Manufacturing,Small - Services,Small - Total,Medium - Manufacturing,Medium - Services,Medium - Total,Total - Manufacturing,Total - Services,Total
Andhra Pradesh,107352,214306,321658,22986,33568,56554,703,988,1691,131041,248862,379903
Arunachal Pradesh,657,498,1155,414,341,755,25,58,83,1096,897,1993
Assam,12502,9410,21912,2169,3159,5328,167,215,382,14838,12784,27622
Bihar,311835,592315,904150,7282,25824,33106,714,528,1242,319831,618667,938498
Chhattisgarh,16543,48435,64978,5559,7053,12612,207,419,626,22309,55907,78216
Goa,2750,4453,7203,1076,1839,2915,85,98,183,3911,6390,10301
Gujarat,388658,340833,729491,79115,52862,131977,4090,1968,6058,471863,395663,867526
Haryana,73730,95720,169450,21528,22990,44518,1217,946,2163,96475,119656,216131
Himachal Pradesh,4815,7139,11954,2174,2473,4647,226,135,361,7215,9747,16962
Jharkhand,49511,102247,151758,4059,13261,17320,221,297,518,53791,115805,169596
Karnataka,154742,178608,333350,31455,42661,74116,1732,2007,3739,187929,223276,411205
Kerala,67413,52345,119758,9485,12725,22210,479,625,1104,77377,65695,143072
Madhya Pradesh,306605,604254,910859,19749,34609,54358,852,912,1764,327206,639775,966981
Maharashtra,522791,1216773,1739564,88741,140291,229032,4782,5158,9940,616314,1362222,1978536
Manipur,19800,12085,31885,1465,3782,5247,16,52,68,21281,15919,37200
Meghalaya,1448,678,2126,132,148,280,6,12,18,1586,838,2424
Mizoram,1658,938,2596,369,547,916,14,21,35,2041,1506,3547
Nagaland,906,611,1517,204,273,477,10,15,25,1120,899,2019
Odisha,40052,76365,116417,6211,14534,20745,248,551,799,46511,91450,137961
Punjab,80890,115544,196434,17184,18722,35906,629,485,1114,98703,134751,233454
Rajasthan,226815,320608,547423,26115,47608,73723,1101,1312,2413,254031,369528,623559
Sikkim,270,431,701,77,265,342,18,20,38,365,716,1081
Tamil Nadu,444551,524668,969219,53603,79468,133071,2304,2034,4338,500458,606170,1106628
Telangana,77918,161572,239490,28027,53511,81538,1004,1359,2363,106949,216442,323391
Tripura,2940,2675,5615,293,714,1007,11,18,29,3244,3407,6651
Uttar Pradesh,407147,478017,885164,29488,52663,82151,1720,1759,3479,438355,532439,970794
Uttarakhand,16810,22873,39683,3746,3888,7634,357,210,567,20913,26971,47884
West Bengal,110700,123939,234639,13016,20193,33209,789,1035,1824,124505,145167,269672
Andaman and Nicobar Islands,1816,3354,5170,177,1030,1207,4,57,61,1997,4441,6438
Chandigarh,3392,7144,10536,632,1724,2356,62,99,161,4086,8967,13053
Dadra and Nagar Haveli,1444,2156,3600,1016,484,1500,120,12,132,2580,2652,5232
Daman and Diu,945,939,1884,932,228,1160,91,10,101,1968,1177,3145
Delhi,73550,89597,163147,16578,26778,43356,686,1489,2175,90814,117864,208678
Jammu and Kashmir,2531,5783,8314,1072,1722,2794,58,95,153,3661,7600,11261
Ladakh,53,27,80,18,34,52,0,6,6,71,67,138
Lakshadweep,55,42,97,3,12,15,0,0,0,58,54,112
Puducherry,3927,5518,9445,874,1200,2074,39,46,85,4840,6764,11604
Total,3539522,5422900,8962422,497024,723184,1220208,24787,25051,49838,4061333,6171135,10232468
