SI. No.,State/UT,Numbers of the Active Workers (In Lakh),Number of Workers who are Eligible to get their Wages under ABPS (In Lakh)
1,Andhra Pradesh,96.78,92.16
2,Arunachal Pradesh,3.28,1.53
3,Assam,62.98,13.31
4,Bihar,93.46,62.26
5,Chhattisgarh,72.58,52.77
6,Goa,0.08,0.06
7,Gujarat,32.32,14.06
8,Haryana,9.48,7.33
9,Himachal Pradesh,14.43,11.52
10,Jammu and Kashmir,17,9.44
11,Jharkhand,45.28,31.76
12,Karnataka,87.23,67.64
13,Kerala,27.1,22.88
14,Ladakh,0.42,0.34
15,Madhya Pradesh,119.93,67.19
16,Maharashtra,66.69,44.66
17,Manipur,7.03,3.93
18,Meghalaya,9.1,0.28
19,Mizoram,2.15,1.58
20,Nagaland,5.6,1.1
21,Odisha,78.29,53.84
22,Punjab,15.93,12.38
23,Rajasthan,143.67,103.31
24,Sikkim,0.97,0.73
25,Tamil Nadu,91.47,81.8
26,Telangana,61.05,55.21
27,Tripura,10.5,8.75
28,Uttar Pradesh,157.55,92
29,Uttarakhand,12.49,8.9
30,West Bengal,151.81,120.38
31,Andaman and Nicobar,0.15,0.12
32,Dadra and Nagar Haveli and Daman and Diu,0,0
33,Lakshadweep,0.0027,0.0015
34,Puducherry,0.68,0.54
Total,Total,1497.46,1043.76
