Rank,State,Digital_Readiness_Index,Aadhaar_Percentage,Ration_Card_Seeding,Beneficiary_Seeding,ABPS_Coverage,MSME_Density,Score_Aadhaar_Coverage,Score_PDS_Readiness,Score_MGNREGS_ABPS,Score_MSME_Density
1,Tamil Nadu,94.45,92,100.0,100.0,89.43,153.4,91.49,100.0,93.91,86.5
2,Andhra Pradesh,91.14,102,100.0,100.0,95.23,76.94,100.0,100.0,100.0,40.96
3,Telangana,90.96,107,100.0,100.0,90.43,91.82,100.0,100.0,94.96,49.82
4,Maharashtra,89.27,98,100.0,89.0,66.97,176.07,97.87,96.01,70.32,100.0
5,Puducherry,86.66,103,100.0,95.0,79.41,93.24,100.0,97.28,83.39,50.66
6,Punjab,86.28,106,100.0,100.0,77.72,84.27,100.0,100.0,81.61,45.32
7,Haryana,86.12,107,100.0,99.0,77.32,85.25,100.0,99.64,81.19,45.91
8,Kerala,84.19,104,100.0,96.0,84.43,42.85,100.0,98.55,88.66,20.65
9,Karnataka,83.73,96,100.0,100.0,77.54,67.27,95.74,99.64,81.42,35.2
10,Goa,83.58,102,100.0,95.0,75.0,70.67,100.0,98.19,78.76,37.22
11,Madhya Pradesh,82.5,95,100.0,98.0,56.02,133.2,94.68,99.28,58.83,74.47
12,Rajasthan,82.4,90,100.0,96.0,71.91,90.87,89.36,98.55,75.51,49.25
13,Himachal Pradesh,81.63,105,100.0,100.0,79.83,24.74,100.0,100.0,83.83,9.86
14,Tripura,80.4,99,100.0,88.0,83.33,18.12,98.94,95.65,87.5,5.92
15,Uttarakhand,79.88,95,100.0,100.0,71.26,47.33,94.68,100.0,74.83,23.32
16,Chhattisgarh,79.4,102,100.0,98.0,72.71,30.62,100.0,98.55,76.35,13.37
17,Jharkhand,78.68,101,97.0,85.0,70.14,51.45,100.0,93.48,73.65,25.77
18,Gujarat,78.26,91,100.0,95.0,43.5,143.67,90.43,98.19,45.68,80.7
19,Sikkim,77.91,97,100.0,93.0,75.26,17.79,96.81,97.1,79.03,5.72
20,Odisha,76.06,88,99.0,99.0,68.77,32.89,87.23,99.28,72.21,14.72
21,Bihar,75.9,77,100.0,80.0,66.62,90.41,75.53,92.75,69.96,48.98
22,Manipur,75.43,70,99.0,99.0,55.9,136.68,68.09,93.48,58.7,76.54
23,Uttar Pradesh,73.48,84,100.0,99.0,58.39,48.64,82.98,99.64,61.31,24.1
24,West Bengal,73.42,87,80.0,75.0,79.3,29.52,86.17,83.7,83.27,12.71
25,Lakshadweep,73.07,104,100.0,98.0,55.56,17.38,100.0,99.28,58.34,5.48
26,Andaman and Nicobar Islands,68.65,102,100.0,98.0,,169.45,100.0,97.83,0.0,96.06
27,Mizoram,67.74,51,97.0,86.0,73.49,32.51,47.87,93.84,77.17,14.49
28,Jammu and Kashmir,65.29,70,100.0,93.0,55.53,8.97,68.09,97.46,58.31,0.47
29,Delhi,65.27,121,100.0,100.0,,124.56,100.0,99.64,0.0,69.32
30,Chandigarh,63.04,104,100.0,88.0,,123.76,100.0,93.48,0.0,68.84
31,Arunachal Pradesh,50.72,66,60.0,43.0,46.65,14.41,63.83,64.86,48.99,3.71
32,Nagaland,47.15,57,86.0,74.0,19.64,10.19,54.26,85.51,20.62,1.2
33,Dadra and Nagar Haveli,32.9,100,,,,152.6,100.0,0.0,0.0,86.02
34,Daman and Diu,27.43,84,,,,129.47,82.98,0.0,0.0,72.24
35,Meghalaya,13.91,9,17.0,4.0,3.08,8.18,3.19,35.14,3.23,0.0
36,Assam,6.72,6,18.0,6.0,21.13,8.86,0.0,0.0,22.19,0.41
