Name of Schemes,No. of Beneficiaries,No. of Beneficiaries with Aadhaar
MGNREGS,108981774,84037893
"NSAP (IGNOAPS, IGNWPS & IGNDPS)",29442208,13767304
PAHAL (DBTL)*,184290852,148287912
Indira Gandhi Matritva Sahyog Yojana (IGMSY),"15,911","2,528"
National Scheme For Incentive For The Girl Child For Secondary Education,739708,541719
National Means Cum Merit Scholarship,246642,141708
Fellowship Schemes of AICTE,"32,534","30,718"
Fellowship Schemes of UGC,"24,612","7,451"
P.G. Indira Gandhi Scholarship for Single Girl Child,"14,827","4,536"
P.G. Scholarship for Professional Courses for SC or ST candidates,"5,224",837
P.G. Scholarship for University Rank Holders,"3,913","1,718"
Post- Doctoral Fellowship for SC or ST Candidates,648,360
Kothari PDF in Sciences,899,330
NETJRF,"51,234","7,456"
EMERITUS,554,284
Post Doctoral – Fellowship for Women,630,321
BSR Doctoral Fellowship in Sciences,"2,803","1,306"
DSRPDFHS,475,321
SVSGC,118,44
NER,"19,989","3,634"
NFOBC,900,455
Scholarship To Universities /College Students,"3,616","3,595"
Pre Matric Scholarship Scheme For Minorities,"12,617",0
Post Matric Scholarship Scheme For Minorities,"1,113",0
Merit Cum Means Scholarship For Minorities,7213,"7,213"
Maulana Azad National Fellowship.,5468,"1,211"
Stipend to children in the special schools under the NCLP,464,367
Scholarship To The Children of Beedi Workers,3053210,0
Housing Subsidy To Beedi Workers,1455,116
Stipend To Trainees Under The Scheme Of Welfare Of SC/ST Job Seekers,"4,058","2,562"
Stipend to Differently Abled Candidates under Scheme of Vocational Rehabilitation Centre for Handicapped (VRCs),0,0
Scholarship To The Children of Cine Workers,182,0
Scholarship To The Children of Iron/Manganese/Chrome Ore Workers,809,0
Scholarship To The Children of Lime Stone and Dolomite (LSDM) Workers,992,0
Housing Subsidy To Iron/Manganese/Chrome Ore Workers,63,37
Housing Subsidy To Lime Stone and Dolomite (LSDM) Workers,84,0
Rehabilitation Assistance,0,0
Umbrella Scheme for Education of ST Children - Pre-Matric Scholarship (class IX and X) for ST Students #,1262068,0
Umbrella Scheme for Education of ST Children - Post Matric Scholarship (PMS) for ST Students #,2033791,332
National Fellowship and Scholarship for Higher Education of ST Students - Scholarship (Formerly Top Class Education for Scheduled Tribe Students),10,0
National Fellowship and Scholarship for Higher Education of ST Students - Fellowship (Formerly Rajiv Gandhi National Fellowship for ST Students),3402,829
Post Matric Scholarship for SC Student,236,236
Upgradation of Merit of SC Students.,0,0
Pre Matric Scholarship for Children of Those Engaged Unclean Occupations,0,0
Pre Matric Scholarship for SC,73564,0
Top Class Education Scheme For SC,128,0
Post Matric Scholarship for OBC,0,0
RGNF-SC,11988,"4,157"
Pre-matric scholarship for Persons with disabilities,11,0
Post-matric Scholarship for Persons with Disabilities,1,0
Scholarship for Top Class Education,2,0
Rajiv Gandhi National Fellowship for students with disabilities,666,414
Janani Suraksha Yojana (JSY),2921735,264039
AABY -CLAIMS#,"8,596",0
PMJDY#,"1,214",0
AABY -SCHOLARSHIPS#,179334,0
Tagore Cultural complexes,3,0
Salary Grant,21,21
Production Grant,22,0
Scheme for Building Grant and Studio Theatre,0,0
Artistes Pension Scheme and Welfare Fund,769,0
Financial Assistance to Cultural Organization with National presence,1,1
Financial Assistance for the Cultural Function Grant Scheme(CFGS),38,0
Scheme for the Award of Fellowship to outstanding persons in the field of Culture,41,0
Scheme for Scholarships to Young Artistes in different cultural fields,201,0
Tagore National Fellowship for Cultural Research,2,2
Financial Assistance for the development of Buddhist / Tibetian Organizations,7,0
Finacial assistance for the preservation and development of Himalayan Cultural Heritage for Himalayas,3,3
International Cultural Relation,0,0
Prime Minister Scholarship Scheme,15056,"10,832"
RMDF Scheme (funded from AFFD fund),233,233
Assistance for treatment of listed serious diseases,3,3
Assistance for treatment of cancer and dialysis,1,1
Assistance for procurement of modified scooter,1,1
Assistance for purchase of Tool Kits,0,0
Interest subsidy on Home Loan upto max Rs. 1.0 lakhs taken from Nationalised or PSU Banks etc,0,0
Scholarship - INSPIRE,41977,0
Cash Transfer of Food Subsidy**,226170,213240
Rashtriya Ayurveda Vidyapeeth,150,143
Total,"33,37,24,632","2473,40,972"
