State Name,Transgender count as on 26/04/16
Jammu and Kashmir,30.00
Himachal Pradesh,215.00
Punjab,903.00
Chandigarh,45.00
Uttarakhand,143.00
Haryana,423.00
Delhi,1430.00
Rajasthan,1048.00
Uttar Pradesh,3040.00
Bihar,803.00
Sikkim,23.00
Arunachal Pradesh,3.00
Nagaland,81.00
Manipur,181.00
Mizoram,2.00
Tripura,294.00
Assam,4.00
West Bengal,4930.00
Jharkhand,962.00
Odisha,2608.00
Chhattisgarh,268.00
Madhya Pradesh,1859.00
Gujarat,957.00
Daman and Diu,8.00
Dadra and Nagar Haveli,16.00
Maharashtra,3622.00
Andhra Pradesh,7681.00
Karnataka,2635.00
Goa,132.00
Kerala,2722.00
Tamil Nadu,3572.00
Puducherry,112.00
Andaman and Nicobar Islands,6.00
Telangana,275.00
Grand Total,41033.00
